CMDLINE /home/lfgalizar/.pyenv/versions/3.10.8/bin/python3.10 sorts.py
MEM 0.625000 1694456263.3964
MEM 20.718750 1694456263.4967
MEM 20.718750 1694456263.5970
MEM 20.968750 1694456263.6973
MEM 21.218750 1694456263.7975
MEM 21.468750 1694456263.8978
MEM 21.593750 1694456263.9981
MEM 21.843750 1694456264.0983
MEM 22.093750 1694456264.1986
MEM 22.343750 1694456264.2989
MEM 22.468750 1694456264.3991
MEM 22.718750 1694456264.4994
MEM 22.968750 1694456264.5997
MEM 23.218750 1694456264.7000
MEM 23.468750 1694456264.8002
MEM 23.718750 1694456264.9005
MEM 23.968750 1694456265.0008
MEM 24.093750 1694456265.1010
MEM 24.343750 1694456265.2014
MEM 24.593750 1694456265.3016
MEM 24.843750 1694456265.4019
MEM 24.968750 1694456265.5022
MEM 25.218750 1694456265.6025
MEM 25.468750 1694456265.7028
MEM 25.718750 1694456265.8031
MEM 25.843750 1694456265.9033
MEM 26.093750 1694456266.0036
MEM 26.343750 1694456266.1040
MEM 26.593750 1694456266.2043
MEM 26.718750 1694456266.3046
MEM 26.968750 1694456266.4049
MEM 27.218750 1694456266.5051
MEM 27.468750 1694456266.6054
MEM 27.593750 1694456266.7056
MEM 27.843750 1694456266.8060
MEM 28.218750 1694456266.9062
MEM 28.468750 1694456267.0065
MEM 28.593750 1694456267.1068
MEM 28.843750 1694456267.2071
MEM 29.218750 1694456267.3074
MEM 29.468750 1694456267.4076
MEM 29.718750 1694456267.5079
MEM 29.968750 1694456267.6081
MEM 30.093750 1694456267.7084
MEM 30.343750 1694456267.8087
MEM 30.593750 1694456267.9090
MEM 30.843750 1694456268.0093
MEM 30.968750 1694456268.1096
MEM 31.218750 1694456268.2099
MEM 31.468750 1694456268.3102
MEM 31.593750 1694456268.4105
FUNC __main__.quicksort_inplace 20.7188 1694456263.5713 20.7188 1694456263.5720 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5714 20.7188 1694456263.5715 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5715 20.7188 1694456263.5720 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5716 20.7188 1694456263.5717 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5718 20.7188 1694456263.5719 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5724 20.7188 1694456263.5724 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5727 20.7188 1694456263.5776 0
FUNC __main__.quicksort_inplace 20.7188 1694456263.5728 20.7188 1694456263.5729 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5730 20.7188 1694456263.5775 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5731 20.7188 1694456263.5735 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5732 20.7188 1694456263.5733 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5733 20.7188 1694456263.5734 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5736 20.7188 1694456263.5775 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5737 20.7188 1694456263.5741 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5738 20.7188 1694456263.5739 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5740 20.7188 1694456263.5740 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5742 20.7188 1694456263.5774 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5743 20.7188 1694456263.5754 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5744 20.7188 1694456263.5748 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5745 20.7188 1694456263.5746 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5747 20.7188 1694456263.5747 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5749 20.7188 1694456263.5753 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5750 20.7188 1694456263.5751 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5752 20.7188 1694456263.5753 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5755 20.7188 1694456263.5773 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5756 20.7188 1694456263.5771 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5757 20.7188 1694456263.5758 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5759 20.7188 1694456263.5770 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5760 20.7188 1694456263.5760 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5761 20.7188 1694456263.5769 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5762 20.7188 1694456263.5763 8
